"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Suite bergamasque, L. 75: 3. Clair de lune","Claude Debussy","Classical",0.335,0.00501,0.0909090909090909,0.4439,1,0.0451,0.993,0.919,0.0618,0.0383,0.132085,0,0.59
"Danse Macabre, Op.40, R.171","Camille Saint-Saëns","Classical",0.371,0.131,0.181818181818182,0.601683333333333,1,0.0413,0.898,0.925,0.0847,0.0655,0.105328,1,0
"Symphony No. 40 in G Minor, K. 550: I. Molto allegro","Wolfgang Amadeus Mozart","Classical",0.326,0.33,0.636363636363636,0.783883333333333,0,0.0406,0.871,0.749,0.128,0.293,0.118668,1,0.49
"Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto","Gustav Mahler","Classical",0.0783,0.0523,0.454545454545455,0.61255,1,0.0471,0.896,0.945,0.0806,0.0327,0.082015,1,0.56
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Frédéric Chopin","Classical",0.225,0.0047,0.0909090909090909,0.484533333333333,0,0.0509,0.992,0.881,0.0722,0.186,0.163665,1,0.64
"Parce Mihi Domine","Jan Garbarek","Classical",0.193,0.0656,0.909090909090909,0.67935,1,0.0471,0.995,0.829,0.119,0.0359,0.128975,0,0.54
"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro","Sergei Prokofiev","Classical",0.353,0.254,0,0.729916666666667,1,0.0349,0.948,0.859,0.0843,0.0986,0.133808,1,0.48
"An der schönen blauen Donau, Op.314","Johann Strauss II","Classical",0.233,0.0252,0.181818181818182,0.586266666666667,1,0.0346,0.975,0.604,0.143,0.0936,0.094736,1,0
"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)","Johann Pachelbel","Classical",0.13,0.158,0.181818181818182,0.731133333333333,1,0.035,0.748,0.924,0.1,0.0998,0.085031,1,0.01
"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","Sergei Rachmaninoff","Classical",0.194,0.0545,0.363636363636364,0.585383333333333,1,0.0366,0.983,0.945,0.0551,0.0385,0.140966,1,0.56
"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio","Wolfgang Amadeus Mozart","Classical",0.0999,0.0241,0.181818181818182,0.572483333333333,1,0.0432,0.98,0.766,0.0623,0.0396,0.089001,0,0.49
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Ludwig van Beethoven","Classical",0.248,0.298,0,0.738983333333333,0,0.0395,0.957,0.9,0.0943,0.157,0.097853,1,0.61
"Concierto de Aranjuez for Guitar and Orchestra: 2. Adagio","Joaquín Rodrigo","Classical",0.293,0.0382,1,0.63695,0,0.0413,0.919,0.915,0.097,0.055,0.110257,0,0.47
"Hummel: Trumpet Concerto In E Flat - Iii Rondo","Johann Nepomuk Hummel","Classical",0.496,0.249,0.272727272727273,0.697816666666667,1,0.0411,0.98,0.934,0.12,0.719,0.144239,1,0.49
"Ravel: Pavane pour une infante défunte, M. 19","Maurice Ravel","Classical",0.491,0.0176,0.363636363636364,0.551483333333333,0,0.0644,0.994,0.927,0.0985,0.0901,0.125793,0,0.59
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Camille Saint-Saëns","Classical",0.169,0.0161,0.818181818181818,0.482766666666667,0,0.0442,0.986,0.86,0.0805,0.0573,0.128143,0,0.66
